"raceId","year","round","circuitId","GPname","date","startTime","circuitRef","circuitName","location","country","lat","lng","alt","continent"
1014,2019,5,4,"Spanish Grand Prix","2019-05-12","13:10:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
1015,2019,6,6,"Monaco Grand Prix","2019-05-26","13:10:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
1016,2019,7,7,"Canadian Grand Prix","2019-06-09","18:10:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
1017,2019,8,34,"French Grand Prix","2019-06-23","13:10:00","ricard","Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,432,"Europe"
1018,2019,9,70,"Austrian Grand Prix","2019-06-30","13:10:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1019,2019,10,9,"British Grand Prix","2019-07-14","13:10:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
1020,2019,11,10,"German Grand Prix","2019-07-28","13:10:00","hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,103,"Europe"
1021,2019,12,11,"Hungarian Grand Prix","2019-08-04","13:10:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
1022,2019,13,13,"Belgian Grand Prix","2019-09-01","13:10:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
1023,2019,14,14,"Italian Grand Prix","2019-09-08","13:10:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
1024,2019,15,15,"Singapore Grand Prix","2019-09-22","12:10:00","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18,"Asia"
1025,2019,16,71,"Russian Grand Prix","2019-09-29","11:10:00","sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,2,"Europe"
1026,2019,17,22,"Japanese Grand Prix","2019-10-13","05:10:00","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45,"Asia"
1027,2019,18,32,"Mexican Grand Prix","2019-10-27","19:10:00","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,2227,"North America"
1028,2019,19,69,"United States Grand Prix","2019-11-03","19:10:00","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,161,"North America"
1029,2019,20,18,"Brazilian Grand Prix","2019-11-17","17:10:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
1030,2019,21,24,"Abu Dhabi Grand Prix","2019-12-01","13:10:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
1031,2020,1,70,"Austrian Grand Prix","2020-07-05","13:10:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1032,2020,2,70,"Styrian Grand Prix","2020-07-12","13:10:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1033,2020,3,11,"Hungarian Grand Prix","2020-07-19","13:10:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
1034,2020,4,9,"British Grand Prix","2020-08-02","13:10:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
1035,2020,5,9,"70th Anniversary Grand Prix","2020-08-09","13:10:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
1036,2020,6,4,"Spanish Grand Prix","2020-08-16","13:10:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
1037,2020,7,13,"Belgian Grand Prix","2020-08-30","13:10:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
1038,2020,8,14,"Italian Grand Prix","2020-09-06","13:10:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
1039,2020,9,76,"Tuscan Grand Prix","2020-09-13","13:10:00","mugello","Autodromo Internazionale del Mugello","Mugello","Italy",43.9975,11.3719,255,"Europe"
1040,2020,10,71,"Russian Grand Prix","2020-09-27","11:10:00","sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,2,"Europe"
1041,2020,11,20,"Eifel Grand Prix","2020-10-11","13:10:00","nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,578,"Europe"
1042,2020,12,75,"Portuguese Grand Prix","2020-10-25","12:10:00","portimao","Autódromo Internacional do Algarve","Portimão","Portugal",37.227,-8.6267,108,"Europe"
1043,2020,13,21,"Emilia Romagna Grand Prix","2020-11-01","12:10:00","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,37,"Europe"
1044,2020,14,5,"Turkish Grand Prix","2020-11-15","10:10:00","istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,130,"Asia"
1045,2020,15,3,"Bahrain Grand Prix","2020-11-29","14:10:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
1046,2020,16,3,"Sakhir Grand Prix","2020-12-06","17:10:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
1047,2020,17,24,"Abu Dhabi Grand Prix","2020-12-13","13:10:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
1053,2021,2,21,"Emilia Romagna Grand Prix","2021-04-18","13:00:00","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,37,"Europe"
1074,2022,1,3,"Bahrain Grand Prix","2022-03-20","15:00:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
1052,2021,1,3,"Bahrain Grand Prix","2021-03-28","15:00:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
1051,2021,20,78,"Qatar Grand Prix","2021-11-21","14:00:00","losail","Losail International Circuit","Al Daayen","Qatar",25.49,51.4542,12,"Asia"
1054,2021,3,75,"Portuguese Grand Prix","2021-05-02","14:00:00","portimao","Autódromo Internacional do Algarve","Portimão","Portugal",37.227,-8.6267,108,"Europe"
1055,2021,4,4,"Spanish Grand Prix","2021-05-09","13:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
1056,2021,5,6,"Monaco Grand Prix","2021-05-23","13:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
1057,2021,6,73,"Azerbaijan Grand Prix","2021-06-06","12:00:00","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,-7,"Europe"
1058,2021,8,70,"Styrian Grand Prix","2021-06-27","13:00:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1059,2021,7,34,"French Grand Prix","2021-06-20","13:00:00","ricard","Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,432,"Europe"
1060,2021,9,70,"Austrian Grand Prix","2021-07-04","13:00:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1061,2021,10,9,"British Grand Prix","2021-07-18","14:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
1062,2021,11,11,"Hungarian Grand Prix","2021-08-01","13:00:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
1063,2021,12,13,"Belgian Grand Prix","2021-08-29","13:00:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
1064,2021,13,39,"Dutch Grand Prix","2021-09-05","13:00:00","zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands",52.3888,4.54092,6,"Europe"
1065,2021,14,14,"Italian Grand Prix","2021-09-12","13:00:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
1066,2021,15,71,"Russian Grand Prix","2021-09-26","12:00:00","sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,2,"Europe"
1067,2021,16,5,"Turkish Grand Prix","2021-10-10","12:00:00","istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,130,"Asia"
1069,2021,17,69,"United States Grand Prix","2021-10-24","19:00:00","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,161,"North America"
1070,2021,18,32,"Mexico City Grand Prix","2021-11-07","19:00:00","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,2227,"North America"
1071,2021,19,18,"São Paulo Grand Prix","2021-11-14","17:00:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
1072,2021,21,77,"Saudi Arabian Grand Prix","2021-12-05","17:30:00","jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,15,"Asia"
1073,2021,22,24,"Abu Dhabi Grand Prix","2021-12-12","13:00:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
1075,2022,2,77,"Saudi Arabian Grand Prix","2022-03-27","17:00:00","jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,15,"Asia"
1076,2022,3,1,"Australian Grand Prix","2022-04-10","05:00:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
1077,2022,4,21,"Emilia Romagna Grand Prix","2022-04-24","13:00:00","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,37,"Europe"
1078,2022,5,79,"Miami Grand Prix","2022-05-08","19:30:00","miami","Miami International Autodrome","Miami","USA",25.9581,-80.2389,0,"North America"
1079,2022,6,4,"Spanish Grand Prix","2022-05-22","13:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
1080,2022,7,6,"Monaco Grand Prix","2022-05-29","13:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
1081,2022,8,73,"Azerbaijan Grand Prix","2022-06-12","11:00:00","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,-7,"Europe"
